Date,Player_Name,Target,Line,Odds_Over,Odds_Under,Pred_Mean,Pick,Pick_EV,Pick_Odds,FairOdds_Over,FairOdds_Under
2025-12-29,Kyshawn George,PTS+REB+AST,24.5,1.93,1.82,39.4,OVER,0.14,1.93,2.06,1.94
2025-12-29,Bilal Coulibaly,PTS+REB+AST,18.5,1.89,1.85,-31.6,UNDER,0.503,1.85,2.02,1.98
2025-12-29,Alex Sarr,PTS+REB,25.5,1.94,1.8,77.2,OVER,0.51,1.94,2.08,1.93
2025-12-29,Jordan Goodwin,PTS+REB,15.5,1.83,1.91,-48.6,UNDER,0.704,1.91,1.96,2.04
2025-12-29,Collin Gillespie,PTS+REB,21.5,1.85,1.89,-8.2,UNDER,0.313,1.89,1.98,2.02
2025-12-29,Kyshawn George,PTS+REB,19.5,1.93,1.82,25.8,SKIP,0.0,0.0,2.06,1.94
2025-12-29,Tre Johnson,PTS+REB,15.5,1.78,1.96,-46.1,UNDER,0.703,1.96,1.91,2.1
2025-12-29,Devin Booker,PTS+REB,31.5,1.88,1.88,73.5,OVER,0.357,1.88,2.0,2.0
2025-12-29,Marvin Bagley III,PTS+REB,16.5,1.88,1.88,-27.5,UNDER,0.511,1.88,2.0,2.0
2025-12-29,Alex Sarr,PTS+AST,19.5,1.93,1.82,51.3,OVER,0.335,1.93,2.06,1.94
2025-12-29,Jordan Goodwin,PTS+AST,13.5,1.98,1.77,-44.5,UNDER,0.548,1.77,2.12,1.89
2025-12-29,Collin Gillespie,PTS+AST,23.5,1.85,1.89,12.0,UNDER,0.091,1.89,1.98,2.02
2025-12-29,Kyshawn George,PTS+AST,18.5,1.78,1.96,31.0,SKIP,0.0,0.0,1.91,2.1
2025-12-29,Devin Booker,PTS+AST,34.5,1.91,1.83,106.4,OVER,0.602,1.91,2.04,1.96
2025-12-29,Bilal Coulibaly,PTS+AST,13.5,1.76,2.0,-28.7,UNDER,0.582,2.0,1.88,2.14
2025-12-29,Jordan Goodwin,REB+AST,7.5,1.78,1.96,-24.8,UNDER,0.801,1.96,1.91,2.1
2025-12-29,Collin Gillespie,REB+AST,11.5,2.08,1.69,5.5,SKIP,0.0,0.0,2.23,1.81
2025-12-29,Devin Booker,REB+AST,10.5,1.76,2.0,15.7,SKIP,0.0,0.0,1.88,2.14
2025-12-29,Alex Sarr,REB+AST,10.5,1.93,1.82,24.3,OVER,0.285,1.93,2.06,1.94
2025-12-29,Day'Ron Sharpe,PTS,6.5,1.88,1.88,-42.4,UNDER,0.642,1.88,2.0,2.0
2025-12-29,Noah Clowney,PTS,13.5,1.88,1.88,1.9,UNDER,0.095,1.88,2.0,2.0
2025-12-29,Stephen Curry,PTS,27.5,1.78,1.96,98.9,OVER,0.497,1.78,1.91,2.1
2025-12-29,Terance Mann,PTS,6.5,1.82,1.93,-38.5,UNDER,0.614,1.93,1.94,2.06
2025-12-29,Cam Thomas,PTS,16.5,1.96,1.78,41.2,OVER,0.271,1.96,2.1,1.91
2025-12-29,Stephen Curry,AST,4.5,2.14,1.66,13.0,OVER,0.42,2.14,2.29,1.78
2025-12-29,Terance Mann,AST,3.5,2.16,1.65,1.1,SKIP,0.0,0.0,2.31,1.76
2025-12-29,Noah Clowney,REB,4.5,2.2,1.62,-9.1,UNDER,0.232,1.62,2.36,1.74
2025-12-29,Stephen Curry,REB,4.5,2.22,1.62,-8.9,UNDER,0.231,1.62,2.37,1.73
2025-12-29,Terance Mann,REB,3.5,1.76,2.0,-8.2,UNDER,0.436,2.0,1.88,2.14
2025-12-29,Day'Ron Sharpe,REB,5.5,1.94,1.8,8.2,OVER,0.052,1.94,2.08,1.93
2025-12-29,Stephen Curry,PTS+REB+AST,36.5,1.85,1.89,103.0,OVER,0.494,1.85,1.98,2.02
2025-12-29,Terance Mann,PTS+REB+AST,13.5,1.76,2.0,-45.6,UNDER,0.731,2.0,1.88,2.14
2025-12-29,Stephen Curry,PTS+REB,32.5,1.89,1.85,90.0,OVER,0.477,1.89,2.02,1.98
2025-12-29,Terance Mann,PTS+REB,10.5,1.88,1.88,-46.8,UNDER,0.641,1.88,2.0,2.0
2025-12-29,Noah Clowney,PTS+REB,17.5,1.77,1.98,-7.2,UNDER,0.311,1.98,1.89,2.12
2025-12-29,Day'Ron Sharpe,PTS+REB,12.5,1.94,1.8,-34.2,UNDER,0.485,1.8,2.08,1.93
2025-12-29,Stephen Curry,PTS+AST,32.5,1.88,1.85,111.9,OVER,0.612,1.88,2.02,1.98
2025-12-29,Terance Mann,PTS+AST,10.5,2.02,1.74,-37.4,UNDER,0.45,1.74,2.16,1.86
2025-12-29,Stephen Curry,REB+AST,8.5,1.91,1.83,4.1,SKIP,0.0,0.0,2.04,1.96
2025-12-29,Terance Mann,REB+AST,7.5,2.16,1.65,-7.1,UNDER,0.16,1.65,2.31,1.76
2025-12-29,Bruce Brown,PTS,8.5,1.82,1.93,-28.8,UNDER,0.513,1.93,1.94,2.06
2025-12-29,Davion Mitchell,PTS,8.5,1.76,2.0,-18.7,UNDER,0.404,2.0,1.88,2.14
2025-12-29,Peyton Watson,PTS,12.5,1.78,1.96,-14.7,UNDER,0.374,1.96,1.91,2.1
2025-12-29,Norman Powell,PTS,23.5,1.78,1.96,59.3,OVER,0.265,1.78,1.91,2.1
