Date,Player_Name,Target,Line,Odds_Over,Odds_Under,Pred_Mean,Pick,Pick_Odds,FairOdds_Over,FairOdds_Under
2025-12-29,Miles Bridges,REB,6.5,1.71,2.06,6.1,UNDER,2.06,1.83,2.2
2025-12-29,Kyle Kuzma,REB,3.5,1.58,2.28,6.3,OVER,1.58,1.69,2.44
2025-12-29,Bobby Portis,REB,6.5,2.16,1.65,8.3,OVER,2.16,2.31,1.76
2025-12-29,Sion James,REB,3.5,2.04,1.72,2.4,UNDER,1.72,2.19,1.84
2025-12-29,Ryan Rollins,PTS+REB+AST,23.5,1.93,1.82,28.6,OVER,1.93,2.06,1.94
2025-12-29,Miles Bridges,PTS+REB+AST,29.5,1.82,1.91,29.7,OVER,1.82,1.95,2.05
2025-12-29,LaMelo Ball,PTS+REB+AST,33.5,1.83,1.91,31.9,UNDER,1.91,1.96,2.04
2025-12-29,Kevin Porter Jr.,PTS+REB+AST,30.5,1.82,1.91,32.1,OVER,1.82,1.95,2.05
2025-12-29,Giannis Antetokounmpo,PTS+REB+AST,43.5,1.94,1.8,44.0,OVER,1.94,2.08,1.93
2025-12-29,Kyle Kuzma,PTS+REB+AST,17.5,1.8,1.94,24.7,OVER,1.8,1.93,2.08
2025-12-29,Brandon Miller,PTS+REB+AST,27.5,1.91,1.83,26.9,UNDER,1.83,2.04,1.96
2025-12-29,LaMelo Ball,PTS+REB,26.5,1.94,1.82,24.1,UNDER,1.82,2.07,1.94
2025-12-29,Bobby Portis,PTS+REB,18.5,1.94,1.8,21.9,OVER,1.94,2.08,1.93
2025-12-29,Kyle Kuzma,PTS+REB,15.5,1.91,1.83,22.4,OVER,1.91,2.04,1.96
2025-12-29,Brandon Miller,PTS+REB,23.5,1.77,1.98,23.4,UNDER,1.98,1.89,2.12
2025-12-29,Kevin Porter Jr.,PTS+REB,23.5,1.98,1.77,23.4,UNDER,1.77,2.12,1.89
2025-12-29,Sion James,PTS+REB,10.5,1.82,1.93,11.7,OVER,1.82,1.94,2.06
2025-12-29,Giannis Antetokounmpo,PTS+REB,36.5,1.85,1.89,37.7,OVER,1.85,1.98,2.02
2025-12-29,Ryan Rollins,PTS+REB,18.5,1.89,1.85,22.9,OVER,1.89,2.02,1.98
2025-12-29,Myles Turner,PTS+REB,16.5,1.93,1.82,15.6,UNDER,1.82,2.06,1.94
2025-12-29,Miles Bridges,PTS+REB,26.5,1.88,1.88,24.7,UNDER,1.88,2.0,2.0
2025-12-29,Giannis Antetokounmpo,PTS+AST,33.5,1.93,1.82,35.0,OVER,1.93,2.06,1.94
2025-12-29,Kevin Porter Jr.,PTS+AST,25.5,1.85,1.89,25.4,UNDER,1.89,1.98,2.02
2025-12-29,Miles Bridges,PTS+AST,22.5,1.88,1.88,23.6,OVER,1.88,2.0,2.0
2025-12-29,Ryan Rollins,PTS+AST,19.5,1.91,1.83,23.1,OVER,1.91,2.04,1.96
2025-12-29,Kyle Kuzma,PTS+AST,13.5,1.85,1.89,18.4,OVER,1.85,1.98,2.02
2025-12-29,LaMelo Ball,PTS+AST,28.5,1.88,1.88,27.6,UNDER,1.88,2.0,2.0
2025-12-29,Brandon Miller,PTS+AST,23.5,1.94,1.8,21.9,UNDER,1.8,2.08,1.93
2025-12-29,Giannis Antetokounmpo,REB+AST,15.5,1.8,1.94,15.3,UNDER,1.94,1.93,2.08
2025-12-29,Brandon Miller,REB+AST,7.5,2.14,1.66,8.4,OVER,2.14,2.29,1.78
2025-12-29,Ryan Rollins,REB+AST,8.5,1.83,1.91,11.1,OVER,1.83,1.96,2.04
2025-12-29,Kyle Kuzma,REB+AST,6.5,1.89,1.85,8.6,OVER,1.89,2.02,1.98
2025-12-29,Kevin Porter Jr.,REB+AST,12.5,1.88,1.88,15.4,OVER,1.88,2.0,2.0
2025-12-29,Miles Bridges,REB+AST,10.5,2.04,1.72,11.1,OVER,2.04,2.19,1.84
2025-12-29,LaMelo Ball,REB+AST,12.5,1.94,1.8,12.0,UNDER,1.8,2.08,1.93
2025-12-29,Alex Sarr,PTS,17.5,2.02,1.74,19.4,OVER,2.02,2.16,1.86
2025-12-29,Tre Johnson,PTS,12.5,1.85,1.89,12.0,UNDER,1.89,1.98,2.02
2025-12-29,Jordan Goodwin,PTS,10.5,1.91,1.83,11.3,OVER,1.91,2.04,1.96
2025-12-29,Devin Booker,PTS,27.5,1.91,1.83,24.6,UNDER,1.83,2.04,1.96
2025-12-29,Kyshawn George,PTS,14.5,2.0,1.76,16.4,OVER,2.0,2.14,1.88
2025-12-29,Dillon Brooks,PTS,21.5,1.94,1.8,19.6,UNDER,1.8,2.08,1.93
2025-12-29,Bilal Coulibaly,PTS,11.5,1.98,1.77,11.3,UNDER,1.77,2.12,1.89
2025-12-29,Collin Gillespie,PTS,17.5,1.98,1.77,17.3,UNDER,1.77,2.12,1.89
2025-12-29,Marvin Bagley III,PTS,10.5,1.93,1.82,9.3,UNDER,1.82,2.06,1.94
2025-12-29,Bilal Coulibaly,AST,2.5,1.74,2.02,2.0,UNDER,2.02,1.86,2.16
2025-12-29,Alex Sarr,AST,2.5,2.22,1.62,2.3,UNDER,1.62,2.37,1.73
2025-12-29,Devin Booker,AST,6.5,1.77,1.98,5.3,UNDER,1.98,1.89,2.12
2025-12-29,Kyshawn George,AST,4.5,1.77,1.98,5.3,OVER,1.77,1.89,2.12
2025-12-29,Collin Gillespie,AST,6.5,2.0,1.76,4.4,UNDER,1.76,2.14,1.88
2025-12-29,Jordan Goodwin,AST,2.5,1.93,1.82,2.6,OVER,1.93,2.06,1.94
2025-12-29,Alex Sarr,REB,7.5,1.69,2.08,9.7,OVER,1.69,1.81,2.23
2025-12-29,Tre Johnson,REB,3.5,2.28,1.58,2.7,UNDER,1.58,2.44,1.69
2025-12-29,Devin Booker,REB,4.5,2.34,1.56,3.6,UNDER,1.56,2.5,1.67
2025-12-29,Jordan Goodwin,REB,4.5,1.62,2.22,4.6,OVER,1.62,1.73,2.37
2025-12-29,Collin Gillespie,REB,4.5,1.88,1.88,4.6,OVER,1.88,2.0,2.0
2025-12-29,Kyshawn George,REB,5.5,2.18,1.63,5.1,UNDER,1.63,2.34,1.75
2025-12-29,Bilal Coulibaly,REB,4.5,1.98,1.77,5.3,OVER,1.98,2.12,1.89
2025-12-29,Dillon Brooks,REB,3.5,1.8,1.94,3.1,UNDER,1.94,1.93,2.08
2025-12-29,Marvin Bagley III,REB,5.5,1.69,2.08,5.6,OVER,1.69,1.81,2.23
2025-12-29,Collin Gillespie,PTS+REB+AST,28.5,1.93,1.82,26.3,UNDER,1.82,2.06,1.94
2025-12-29,Devin Booker,PTS+REB+AST,38.5,1.89,1.85,33.4,UNDER,1.85,2.02,1.98
2025-12-29,Alex Sarr,PTS+REB+AST,27.5,1.85,1.89,31.4,OVER,1.85,1.98,2.02
2025-12-29,Jordan Goodwin,PTS+REB+AST,18.5,1.89,1.85,18.4,UNDER,1.85,2.02,1.98
2025-12-29,Kyshawn George,PTS+REB+AST,24.5,1.93,1.82,26.9,OVER,1.93,2.06,1.94
2025-12-29,Bilal Coulibaly,PTS+REB+AST,18.5,1.89,1.85,18.6,OVER,1.89,2.02,1.98
2025-12-29,Alex Sarr,PTS+REB,25.5,1.94,1.8,29.1,OVER,1.94,2.08,1.93
2025-12-29,Jordan Goodwin,PTS+REB,15.5,1.83,1.91,15.9,OVER,1.83,1.96,2.04
2025-12-29,Collin Gillespie,PTS+REB,21.5,1.85,1.89,21.9,OVER,1.85,1.98,2.02
2025-12-29,Kyshawn George,PTS+REB,19.5,1.93,1.82,21.6,OVER,1.93,2.06,1.94
2025-12-29,Tre Johnson,PTS+REB,15.5,1.78,1.96,14.7,UNDER,1.96,1.91,2.1
2025-12-29,Devin Booker,PTS+REB,31.5,1.88,1.88,28.1,UNDER,1.88,2.0,2.0
2025-12-29,Marvin Bagley III,PTS+REB,16.5,1.88,1.88,14.9,UNDER,1.88,2.0,2.0
2025-12-29,Alex Sarr,PTS+AST,19.5,1.93,1.82,21.7,OVER,1.93,2.06,1.94
2025-12-29,Jordan Goodwin,PTS+AST,13.5,1.98,1.77,13.9,OVER,1.98,2.12,1.89
2025-12-29,Collin Gillespie,PTS+AST,23.5,1.85,1.89,21.7,UNDER,1.89,1.98,2.02
2025-12-29,Kyshawn George,PTS+AST,18.5,1.78,1.96,21.7,OVER,1.78,1.91,2.1
2025-12-29,Devin Booker,PTS+AST,34.5,1.91,1.83,29.9,UNDER,1.83,2.04,1.96
2025-12-29,Bilal Coulibaly,PTS+AST,13.5,1.76,2.0,13.3,UNDER,2.0,1.88,2.14
2025-12-29,Jordan Goodwin,REB+AST,7.5,1.78,1.96,7.1,UNDER,1.96,1.91,2.1
2025-12-29,Collin Gillespie,REB+AST,11.5,2.08,1.69,9.0,UNDER,1.69,2.23,1.81
2025-12-29,Devin Booker,REB+AST,10.5,1.76,2.0,8.9,UNDER,2.0,1.88,2.14
2025-12-29,Alex Sarr,REB+AST,10.5,1.93,1.82,12.0,OVER,1.93,2.06,1.94
2025-12-29,Day'Ron Sharpe,PTS,6.5,1.88,1.88,8.6,OVER,1.88,2.0,2.0
2025-12-29,Noah Clowney,PTS,13.5,1.88,1.88,16.6,OVER,1.88,2.0,2.0
2025-12-29,Stephen Curry,PTS,27.5,1.78,1.96,31.1,OVER,1.78,1.91,2.1
2025-12-29,Terance Mann,PTS,6.5,1.82,1.93,8.7,OVER,1.82,1.94,2.06
2025-12-29,Cam Thomas,PTS,16.5,1.96,1.78,26.6,OVER,1.96,2.1,1.91
2025-12-29,Stephen Curry,AST,4.5,2.14,1.66,4.9,OVER,2.14,2.29,1.78
2025-12-29,Terance Mann,AST,3.5,2.16,1.65,4.0,OVER,2.16,2.31,1.76
2025-12-29,Noah Clowney,REB,4.5,2.2,1.62,5.0,OVER,2.2,2.36,1.74
2025-12-29,Stephen Curry,REB,4.5,2.22,1.62,5.1,OVER,2.22,2.37,1.73
2025-12-29,Terance Mann,REB,3.5,1.76,2.0,4.7,OVER,1.76,1.88,2.14
2025-12-29,Day'Ron Sharpe,REB,5.5,1.94,1.8,6.7,OVER,1.94,2.08,1.93
2025-12-29,Stephen Curry,PTS+REB+AST,36.5,1.85,1.89,41.1,OVER,1.85,1.98,2.02
2025-12-29,Terance Mann,PTS+REB+AST,13.5,1.76,2.0,17.4,OVER,1.76,1.88,2.14
2025-12-29,Stephen Curry,PTS+REB,32.5,1.89,1.85,36.3,OVER,1.89,2.02,1.98
2025-12-29,Terance Mann,PTS+REB,10.5,1.88,1.88,13.4,OVER,1.88,2.0,2.0
2025-12-29,Noah Clowney,PTS+REB,17.5,1.77,1.98,21.6,OVER,1.77,1.89,2.12
2025-12-29,Day'Ron Sharpe,PTS+REB,12.5,1.94,1.8,15.3,OVER,1.94,2.08,1.93
2025-12-29,Stephen Curry,PTS+AST,32.5,1.88,1.85,36.0,OVER,1.88,2.02,1.98
2025-12-29,Terance Mann,PTS+AST,10.5,2.02,1.74,12.7,OVER,2.02,2.16,1.86
2025-12-29,Stephen Curry,REB+AST,8.5,1.91,1.83,10.0,OVER,1.91,2.04,1.96
2025-12-29,Terance Mann,REB+AST,7.5,2.16,1.65,8.7,OVER,2.16,2.31,1.76
2025-12-29,Bruce Brown,PTS,8.5,1.82,1.93,9.4,OVER,1.82,1.94,2.06
2025-12-29,Davion Mitchell,PTS,8.5,1.76,2.0,11.7,OVER,1.76,1.88,2.14
2025-12-29,Peyton Watson,PTS,12.5,1.78,1.96,12.9,OVER,1.78,1.91,2.1
2025-12-29,Norman Powell,PTS,23.5,1.78,1.96,21.3,UNDER,1.96,1.91,2.1
2025-12-29,Jamal Murray,PTS,25.5,1.78,1.96,28.6,OVER,1.78,1.91,2.1
2025-12-29,Andrew Wiggins,PTS,15.5,1.85,1.89,15.4,UNDER,1.89,1.98,2.02
2025-12-29,Bam Adebayo,PTS,16.5,1.91,1.83,13.6,UNDER,1.83,2.04,1.96
2025-12-29,Pelle Larsson,PTS,9.5,1.88,1.88,9.0,UNDER,1.88,2.0,2.0
2025-12-29,Kel'el Ware,PTS,13.5,1.83,1.91,16.6,OVER,1.83,1.96,2.04
2025-12-29,Davion Mitchell,AST,7.5,2.04,1.72,8.7,OVER,2.04,2.19,1.84
2025-12-29,Jamal Murray,AST,7.5,2.16,1.65,6.7,UNDER,1.65,2.31,1.76
2025-12-29,Norman Powell,AST,2.5,1.68,2.12,3.6,OVER,1.68,1.79,2.26
2025-12-29,Jamal Murray,REB,4.5,2.22,1.62,4.1,UNDER,1.62,2.37,1.73
2025-12-29,Bruce Brown,REB,4.5,1.83,1.91,5.0,OVER,1.83,1.96,2.04
2025-12-29,Norman Powell,REB,3.5,2.0,1.76,5.0,OVER,2.0,2.14,1.88
2025-12-29,Kel'el Ware,REB,10.5,1.94,1.8,11.1,OVER,1.94,2.08,1.93
2025-12-29,Bam Adebayo,REB,8.5,1.71,2.06,10.4,OVER,1.71,1.83,2.2
2025-12-29,Andrew Wiggins,REB,4.5,1.98,1.77,5.4,OVER,1.98,2.12,1.89
2025-12-29,Peyton Watson,REB,5.5,1.94,1.8,4.4,UNDER,1.8,2.08,1.93
2025-12-29,Pelle Larsson,REB,2.5,1.63,2.18,2.4,UNDER,2.18,1.75,2.34
2025-12-29,Davion Mitchell,PTS+REB+AST,18.5,1.8,1.94,23.3,OVER,1.8,1.93,2.08
2025-12-29,Norman Powell,PTS+REB+AST,30.5,1.88,1.88,29.9,UNDER,1.88,2.0,2.0
2025-12-29,Bam Adebayo,PTS+REB+AST,28.5,1.93,1.82,26.1,UNDER,1.82,2.06,1.94
2025-12-29,Andrew Wiggins,PTS+REB+AST,23.5,1.98,1.77,23.9,OVER,1.98,2.12,1.89
2025-12-29,Bruce Brown,PTS+REB+AST,15.5,1.77,1.98,16.3,OVER,1.77,1.89,2.12
2025-12-29,Jamal Murray,PTS+REB+AST,37.5,1.88,1.88,39.4,OVER,1.88,2.0,2.0
2025-12-29,Peyton Watson,PTS+REB,18.5,1.88,1.88,17.3,UNDER,1.88,2.0,2.0
2025-12-29,Andrew Wiggins,PTS+REB,20.5,1.94,1.8,20.9,OVER,1.94,2.08,1.93
2025-12-29,Bam Adebayo,PTS+REB,25.5,1.85,1.89,24.0,UNDER,1.89,1.98,2.02
2025-12-29,Norman Powell,PTS+REB,27.5,1.88,1.88,26.3,UNDER,1.88,2.0,2.0
2025-12-29,Bruce Brown,PTS+REB,13.5,1.88,1.88,14.4,OVER,1.88,2.0,2.0
2025-12-29,Davion Mitchell,PTS+REB,11.5,1.96,1.78,14.6,OVER,1.96,2.1,1.91
2025-12-29,Pelle Larsson,PTS+REB,12.5,1.88,1.88,11.4,UNDER,1.88,2.0,2.0
2025-12-29,Kel'el Ware,PTS+REB,24.5,1.93,1.82,27.7,OVER,1.93,2.06,1.94
2025-12-29,Jamal Murray,PTS+REB,30.5,1.93,1.82,32.7,OVER,1.93,2.06,1.94
2025-12-29,Norman Powell,PTS+AST,26.5,1.78,1.96,24.9,UNDER,1.96,1.91,2.1
2025-12-29,Bam Adebayo,PTS+AST,18.5,1.77,1.98,15.7,UNDER,1.98,1.89,2.12
2025-12-29,Andrew Wiggins,PTS+AST,18.5,1.88,1.88,18.4,UNDER,1.88,2.0,2.0
2025-12-29,Bruce Brown,PTS+AST,11.5,1.98,1.77,11.3,UNDER,1.77,2.12,1.89
2025-12-29,Davion Mitchell,PTS+AST,16.5,1.91,1.83,20.4,OVER,1.91,2.04,1.96
2025-12-29,Jamal Murray,PTS+AST,33.5,1.89,1.85,35.3,OVER,1.89,2.02,1.98
2025-12-29,Andrew Wiggins,REB+AST,7.5,2.06,1.71,8.4,OVER,2.06,2.2,1.83
2025-12-29,Bam Adebayo,REB+AST,11.5,1.8,1.94,12.6,OVER,1.8,1.93,2.08
2025-12-29,Jamal Murray,REB+AST,11.5,1.96,1.78,10.9,UNDER,1.78,2.1,1.91
2025-12-29,Norman Powell,REB+AST,6.5,2.02,1.74,8.6,OVER,2.02,2.16,1.86
2025-12-29,Ja'Kobe Walter,PTS,5.5,1.88,1.88,9.4,OVER,1.88,2.0,2.0
2025-12-29,Ochai Agbaji,PTS,6.5,1.82,1.93,5.4,UNDER,1.93,1.94,2.06
2025-12-29,Anthony Black,PTS,18.5,1.83,1.91,22.4,OVER,1.83,1.96,2.04
2025-12-29,Sandro Mamukelashvili,PTS,12.5,1.98,1.77,8.6,UNDER,1.77,2.12,1.89
2025-12-29,Brandon Ingram,PTS,24.5,1.96,1.78,26.6,OVER,1.96,2.1,1.91
2025-12-29,Tyus Jones,PTS,4.5,1.72,2.04,7.4,OVER,1.72,1.84,2.19
2025-12-29,Desmond Bane,PTS,21.5,1.88,1.88,24.1,OVER,1.88,2.0,2.0
2025-12-29,Immanuel Quickley,PTS,16.5,1.98,1.77,17.4,OVER,1.98,2.12,1.89
2025-12-29,Scottie Barnes,PTS,18.5,1.94,1.8,19.3,OVER,1.94,2.08,1.93
2025-12-29,Paolo Banchero,PTS,22.5,1.83,1.91,19.7,UNDER,1.91,1.96,2.04
2025-12-29,Jamal Shead,PTS,5.5,1.76,2.0,7.4,OVER,1.76,1.88,2.14
2025-12-29,Tristan da Silva,PTS,8.5,1.77,1.98,12.4,OVER,1.77,1.89,2.12
2025-12-29,Desmond Bane,AST,4.5,2.02,1.74,4.4,UNDER,1.74,2.16,1.86
2025-12-29,Scottie Barnes,AST,4.5,1.66,2.16,6.1,OVER,1.66,1.77,2.3
2025-12-29,Jamal Shead,AST,4.5,1.88,1.88,6.9,OVER,1.88,2.0,2.0
2025-12-29,Tyus Jones,AST,3.5,1.72,2.04,6.6,OVER,1.72,1.84,2.19
2025-12-29,Brandon Ingram,AST,3.5,1.69,2.08,4.6,OVER,1.69,1.81,2.23
2025-12-29,Immanuel Quickley,AST,5.5,1.65,2.16,6.9,OVER,1.65,1.76,2.31
2025-12-29,Paolo Banchero,AST,4.5,1.62,2.22,5.9,OVER,1.62,1.73,2.37
2025-12-29,Anthony Black,AST,4.5,2.14,1.66,4.3,UNDER,1.66,2.29,1.78
2025-12-29,Immanuel Quickley,REB,3.5,1.76,2.0,4.1,OVER,1.76,1.88,2.14
2025-12-29,Ochai Agbaji,REB,3.5,2.28,1.58,3.1,UNDER,1.58,2.44,1.69
2025-12-29,Paolo Banchero,REB,7.5,1.82,1.93,9.0,OVER,1.82,1.94,2.06
2025-12-29,Scottie Barnes,REB,9.5,1.8,1.94,11.1,OVER,1.8,1.93,2.08
2025-12-29,Desmond Bane,REB,4.5,2.14,1.66,5.3,OVER,2.14,2.29,1.78
2025-12-29,Sandro Mamukelashvili,REB,6.5,1.68,2.1,6.1,UNDER,2.1,1.8,2.25
2025-12-29,Tristan da Silva,REB,3.5,1.91,1.83,5.3,OVER,1.91,2.04,1.96
2025-12-29,Brandon Ingram,REB,5.5,1.85,1.89,5.4,UNDER,1.89,1.98,2.02
2025-12-29,Anthony Black,REB,4.5,1.88,1.88,5.4,OVER,1.88,2.0,2.0
2025-12-29,Brandon Ingram,PTS+REB+AST,33.5,1.83,1.91,36.6,OVER,1.83,1.96,2.04
2025-12-29,Anthony Black,PTS+REB+AST,27.5,1.82,1.93,32.1,OVER,1.82,1.94,2.06
2025-12-29,Desmond Bane,PTS+REB+AST,30.5,1.93,1.82,33.9,OVER,1.93,2.06,1.94
2025-12-29,Immanuel Quickley,PTS+REB+AST,26.5,1.94,1.8,28.4,OVER,1.94,2.08,1.93
2025-12-29,Scottie Barnes,PTS+REB+AST,32.5,1.8,1.94,36.6,OVER,1.8,1.93,2.08
2025-12-29,Paolo Banchero,PTS+REB+AST,35.5,1.82,1.93,34.6,UNDER,1.93,1.94,2.06
2025-12-29,Sandro Mamukelashvili,PTS+REB,19.5,1.89,1.85,14.7,UNDER,1.85,2.02,1.98
2025-12-29,Tristan da Silva,PTS+REB,12.5,1.88,1.88,17.7,OVER,1.88,2.0,2.0
2025-12-29,Desmond Bane,PTS+REB,25.5,1.8,1.94,29.4,OVER,1.8,1.93,2.08
2025-12-29,Ochai Agbaji,PTS+REB,9.5,1.74,2.02,8.6,UNDER,2.02,1.86,2.16
2025-12-29,Anthony Black,PTS+REB,23.5,1.89,1.85,27.9,OVER,1.89,2.02,1.98
2025-12-29,Brandon Ingram,PTS+REB,29.5,1.82,1.93,32.0,OVER,1.82,1.94,2.06
2025-12-29,Immanuel Quickley,PTS+REB,19.5,1.77,1.98,21.6,OVER,1.77,1.89,2.12
2025-12-29,Scottie Barnes,PTS+REB,27.5,1.8,1.94,30.4,OVER,1.8,1.93,2.08
2025-12-29,Paolo Banchero,PTS+REB,30.5,1.85,1.89,28.7,UNDER,1.89,1.98,2.02
2025-12-29,Jamal Shead,PTS+AST,10.5,1.78,1.96,14.3,OVER,1.78,1.91,2.1
2025-12-29,Desmond Bane,PTS+AST,25.5,1.8,1.94,28.6,OVER,1.8,1.93,2.08
2025-12-29,Anthony Black,PTS+AST,23.5,1.98,1.77,26.7,OVER,1.98,2.12,1.89
2025-12-29,Brandon Ingram,PTS+AST,27.5,1.77,1.98,31.1,OVER,1.77,1.89,2.12
2025-12-29,Tyus Jones,PTS+AST,8.5,1.78,1.96,14.0,OVER,1.78,1.91,2.1
2025-12-29,Paolo Banchero,PTS+AST,27.5,1.78,1.96,25.6,UNDER,1.96,1.91,2.1
2025-12-29,Scottie Barnes,PTS+AST,23.5,1.94,1.8,25.4,OVER,1.94,2.08,1.93
2025-12-29,Immanuel Quickley,PTS+AST,22.5,1.93,1.82,24.3,OVER,1.93,2.06,1.94
2025-12-29,Immanuel Quickley,REB+AST,9.5,1.77,1.98,11.0,OVER,1.77,1.89,2.12
2025-12-29,Paolo Banchero,REB+AST,12.5,1.77,1.98,14.9,OVER,1.77,1.89,2.12
2025-12-29,Desmond Bane,REB+AST,8.5,1.78,1.96,9.7,OVER,1.78,1.91,2.1
2025-12-29,Anthony Black,REB+AST,8.5,1.71,2.06,9.7,OVER,1.71,1.83,2.2
2025-12-29,Brandon Ingram,REB+AST,9.5,1.88,1.88,10.0,OVER,1.88,2.0,2.0
2025-12-29,Scottie Barnes,REB+AST,14.5,1.88,1.88,17.3,OVER,1.88,2.0,2.0
2025-12-29,Chet Holmgren,PTS,18.5,1.82,1.93,20.1,OVER,1.82,1.94,2.06
2025-12-29,Shai Gilgeous-Alexander,PTS,30.5,1.8,1.94,29.9,UNDER,1.94,1.93,2.08
2025-12-29,Jalen Williams,PTS,18.5,1.83,1.91,17.0,UNDER,1.91,1.96,2.04
2025-12-29,Jalen Williams,AST,5.5,2.24,1.6,4.3,UNDER,1.6,2.4,1.71
2025-12-29,Shai Gilgeous-Alexander,AST,6.5,1.91,1.83,6.1,UNDER,1.83,2.04,1.96
2025-12-29,Chet Holmgren,AST,1.5,1.89,1.85,1.1,UNDER,1.85,2.02,1.98
2025-12-29,Chet Holmgren,REB,8.5,1.74,2.02,8.1,UNDER,2.02,1.86,2.16
2025-12-29,Shai Gilgeous-Alexander,REB,4.5,1.66,2.14,5.3,OVER,1.66,1.78,2.29
2025-12-29,Jalen Williams,REB,5.5,2.18,1.63,4.6,UNDER,1.63,2.34,1.75
2025-12-29,Chet Holmgren,PTS+REB+AST,29.5,1.88,1.88,29.4,UNDER,1.88,2.0,2.0
2025-12-29,Shai Gilgeous-Alexander,PTS+REB+AST,42.5,1.85,1.89,41.3,UNDER,1.89,1.98,2.02
2025-12-29,Jalen Williams,PTS+REB+AST,29.5,1.94,1.82,25.9,UNDER,1.82,2.07,1.94
2025-12-29,Shai Gilgeous-Alexander,PTS+REB,35.5,1.8,1.94,35.1,UNDER,1.94,1.93,2.08
2025-12-29,Chet Holmgren,PTS+REB,27.5,1.82,1.94,28.3,OVER,1.82,1.94,2.07
2025-12-29,Jalen Williams,PTS+REB,23.5,1.78,1.96,21.6,UNDER,1.96,1.91,2.1
2025-12-29,Chet Holmgren,PTS+AST,20.5,1.89,1.85,21.3,OVER,1.89,2.02,1.98
2025-12-29,Jalen Williams,PTS+AST,23.5,1.77,1.98,21.3,UNDER,1.98,1.89,2.12
2025-12-29,Shai Gilgeous-Alexander,PTS+AST,37.5,1.85,1.89,36.0,UNDER,1.89,1.98,2.02
2025-12-29,Chet Holmgren,REB+AST,10.5,1.8,1.94,9.3,UNDER,1.94,1.93,2.08
2025-12-29,Shai Gilgeous-Alexander,REB+AST,11.5,1.88,1.88,11.4,UNDER,1.88,2.0,2.0
2025-12-29,Jalen Williams,REB+AST,10.5,1.96,1.78,8.9,UNDER,1.78,2.1,1.91
2025-12-29,Ayo Dosunmu,PTS,8.5,1.8,1.94,11.1,OVER,1.8,1.93,2.08
2025-12-29,Julius Randle,PTS,21.5,1.96,1.78,20.9,UNDER,1.78,2.1,1.91
2025-12-29,Isaac Okoro,PTS,5.5,1.74,2.02,12.0,OVER,1.74,1.86,2.16
2025-12-29,Kevin Huerter,PTS,9.5,2.02,1.74,13.0,OVER,2.02,2.16,1.86
2025-12-29,Donte DiVincenzo,PTS,13.5,1.98,1.77,15.0,OVER,1.98,2.12,1.89
2025-12-29,Naz Reid,PTS,13.5,1.96,1.78,17.0,OVER,1.96,2.1,1.91
